OBJECTID,PARKID,PARKNAME,NAME_ALT,PARK_ADDR,CITY_MUNI,COUNTY,STATE,PARKSTATUS,WINTER_STS,FUNC_TYPE,LANDOWNER,OWNERTYPE,AGENCYNAME,AGENCYTYPE,YEAROPEN,LANDCOVER,WATERACRES,LAND_ACRES,PARK_ACRES,PLND_ACRES,TRL_MILES,ACQSOURCE,ACQMETHOD,ACQCOMMENT,DEVSOURCE,DEVCOMMENT,RESTRICTS,LWCFPROT,OTHERPROT,RESPRTCMNT,SERVICAREA,MGTPRIORTY,VLTR_OPPS,SPEC_FEAT,PARK_HOURS,PKING_CAP,VISITORCTS,PASSHOLDER,PARK_EMAIL,PARK_PHONE,PARK_URL,MNTCEEMAIL,MNTCEPHONE,DATAAUTHOR,EDITED_BY,EDITED_DT,CREATED_BY,CREATED_DT,ShapeSTArea,ShapeSTLength
11,38003,Antoine Park,,1780 Concordia St,Orono,053,MN,Open,Open,,,,Orono,05,,,,,1.33571055,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-249-4600,https://www.oronomn.gov/394/Parks-Golf-Course-Facilities,,,Orono,,,,,5405.428811155,315.130604721795
12,42027,Apple Blossom Park,,6645 Girard Ave,Richfield,053,MN,Open,,,,,Richfield,05,,,,,0.6032694,,,,,,,,,,,,,,,,Unknown,,,,,612-861-9700,https://www.richfieldmn.gov/departments/parks_and_recreation/parks/index.php,,,Richfield,,,,,2441.344646535,200.8198369535
13,46027,Aquila Park,,8500 W 31st,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,30.07034055,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,121688.86430043,1506.24133424882
14,76055,Arbor Lake Linear Park,,Arbor Lake Pkwy and Main St,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,55.35642072,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,224019.48670044,3685.08673546323
15,22021,Arboretum,,61st Ave N & Major Ave N,Brooklyn Center,053,MN,Open,,,,,Brooklyn Center,05,,,,,7.16030315,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,recreation@ci.brooklyn-center.mn.us,763-569-3400,https://www.brooklyncentermn.gov/government/departments/recreation/parks-trails,,,Brooklyn Center,,,,,28976.718778045,789.421323828362
16,24002,Arden Park,,5230 Minnehaha Boulevard,Edina,053,MN,Open,Open,,,,Edina,05,,,,,14.70737845,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,59518.64895589,2609.17954394178
17,28004,Ardmore North and South Ponds,,5 Ardmore Drive,Golden Valley,053,MN,Open,Open,,,,Golden Valley,05,,,,,1.33521925,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,,763-593-8000,https://www.goldenvalleymn.gov/183/Parks-Trails-Recreation,,,Golden Valley,,,,,5403.440591735,424.259144256167
18,01065,Armatage Park,,2500 W. 57th Street,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,17.22279911,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,69698.19518311,1272.34523719643
19,24003,Arneson Acres Park,,4711 West 70th Street,Edina,053,MN,Open,Open,,,,Edina,05,,,,,14.35700324,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,58100.73077848,1142.74917052326
20,74005,Arnold Klaers Baseball Field,,400 Lorenz St,Loretto,053,MN,Open,Open,,,,Loretto,05,,,,,5.22371559,,,,,,,,,,,,,,,,Unknown,,,,,763-479-4305,https://www.ci.loretto.mn.us/index.asp?SEC=85AA5199-E8A0-41BC-8A92-FD4EFA034B37&Type=B_BASIC,,,Hennepin County,,,,,21139.62696828,571.153459764498
21,40076,Aspen Ridge,,5670 Garland Lane N,Plymouth,053,MN,Open,,Neighborhood & Mini Park,,,Plymouth,05,,,,,2.34590943,,,,,,,,,,,,,,,,Unknown,,,,,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,9493.53826888,494.788145537563
22,01007,Audubon Park,,1320 29th Ave. NE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,5.74884812,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,23264.762953615,659.393589024728
23,42019,Augsburg Park,,7145 Wentworth Ave,Richfield,053,MN,Open,,,,,Richfield,05,,,,,19.2473684,,,,,,,,,,,,,,,,Unknown,,,,,612-861-9700,https://www.richfieldmn.gov/departments/parks_and_recreation/parks/index.php,,,Richfield,,,,,77891.336425585,1234.73256272678
24,85008,Avalon Park,,Island View Dr & Manchester Rd,Mound,053,MN,Open,Open,,,,Mound,05,,,,,0.42846679,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,1733.94358718,181.749403072535
25,85012,Avon Park,,Near Avon Rd & Emerald Dr,Mound,053,MN,Open,Open,,,,Mound,05,,,,,0.5668757,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,2292.49695803,174.76826449344
26,26002,Badger Park,,5745 Country Club Rd,Shorewood,053,MN,Open,Open,,,,Shorewood,05,,,,,9.73913409,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-474-3236,https://www.shorewoodmn.gov/451/Parks,,,Shorewood,,,,,39412.877355885,984.526001056565
27,02017,Baker Park Reserve,Baker Park Reserve,2301 County Road 19,Medina,053,MN,Open,Open,Park Reserve,,,Three Rivers Park District,04,,,,,3147.21589502,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,763-559-9000,https://www.threeriversparks.org/locations,,,Three Rivers Park District,,,,,12736330.857444,20391.2030355961
28,76073,Balsam Playlot,,8400 Balsam La N.,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,1.49893848,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,6065.98880484,341.38571931755
29,50015,Bartusch Park,,11050 Quebec Ave N,Champlin,053,MN,Open,,,,,Champlin,05,,,,,3.40727881,,,,,,,,,,,,,,,,Sunrise to 10:30pm,,,,recreation@ci.champlin.mn.us,763-421-8100,https://ci.champlin.mn.us/255/City-Parks-Trails,,,Champlin,,,,,13788.768138545,1048.18020665481
30,48042,Bass Creek Park,,6665 Boone Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,80.61354914,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,326231.45906758,4909.76697041771
31,46004,Bass Lake Park,,3450 Glenhurst Ave,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,1.11632821,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,4517.61998048,292.119368801841
32,40043,Bass Lake Playfield,,5450 Northwest Boulevard,Plymouth,053,MN,Open,,Playfield,,,Plymouth,05,,,,,23.11858395,,,,,,,,,,,,,,,,7:00am to 10:30pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,93557.589934415,1599.11477650916
33,46050,Bass Lake Preserve,,3500 Kipling Ave S,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,61.87023383,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,250379.95312044,2466.35402562497
34,28016,Bassett Creek Nature Area,,2130 Zane Avenue North,Golden Valley,053,MN,Open,Open,,,,Golden Valley,05,,,,,7.60668836,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,,763-593-8000,https://www.goldenvalleymn.gov/183/Parks-Trails-Recreation,,,Golden Valley,,,,,30783.175656645,748.972143067004
35,54026,Bassett Creek Park,,6001 32nd Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,73.7278046,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,298368.284605785,2733.30946063728
36,54025,Bassett Creek Park Extension,,3051 Brunswick Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,9.32250133,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,37726.82438718,827.059751811225
37,28005,Bassett Valley Open Space,,2273 Noble Avenue North,Golden Valley,053,MN,Open,Open,,,,Golden Valley,05,,,,,2.86155036,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,,763-593-8000,https://www.goldenvalleymn.gov/183/Parks-Trails-Recreation,,,Golden Valley,,,,,11580.283471405,837.465450666516
38,01056,Bassetts Creek Park,,200 Vincent Ave N.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,62.5517243,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,253137.842206455,11042.0554093273
39,76035,Basswood Neighborhood Park,,15234 65th Place N.,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,20.68082774,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,83692.35307299,2004.82499768449
40,76036,Basswood School Community Playfield,,15425 Bass Lake Rd,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,34.35379993,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,139024.90836851,1796.42603502671
41,76008,Bayless Playlot,,9900 Pilgrim Way,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,1.17344704,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,4748.77168326,314.761302705896
42,01045,Bde Maka Ska Park,,3000 Bde Maka Ska Parkway,Minneapolis,053,MN,Open,,,,,Minneapolis Park & Recreation Board,05,,,,,94.58628607,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,382777.119238245,12322.120691281
43,82004,Beach Park,,CO Rd 15 & Lafayette Rd,Minnetonka Beach,053,MN,Open,Closed,,,,Minnetonka Beach,05,,,,,1.32158402,,,,,,,,,,,,,,,,Unknown,,,,,952-471-8878,https://www.ci.minnetonka-beach.mn.us/index.asp?SEC=7AE8F1C0-A693-406D-9BC9-C7D4222A0EDA,,,Hennepin County,,,,,5348.26078886,407.934466371366
44,54024,Becker Park,,6225 56th Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,12.1654152,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,49226.47285285,953.658754729752
45,38009,Bederwood Park,,55 Stubbs Bay Rd,Orono,053,MN,Open,Open,,,,Orono,05,,,,,8.74108968,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-249-4600,https://www.oronomn.gov/394/Parks-Golf-Course-Facilities,,,Orono,,,,,35373.93490278,745.199326398132
46,86003,Begin Park,,5407 Wisconsin Ave N,New Hope,053,MN,Open,Open,,,,New Hope,05,,,,,4.76524478,,,,,,,,,,,,,,,,Unknown,,,,,763-531-5100,https://www.ci.new-hope.mn.us/city_hall/parks_and_recreation/parks_and_trails,,,Hennepin County,,,,,19284.26145296,578.838125123319
47,22018,Bellvue Park,,55th & Aldrich Avenues,Brooklyn Center,053,MN,Open,,,,,Brooklyn Center,05,,,,,6.68442898,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,recreation@ci.brooklyn-center.mn.us,763-569-3400,https://www.brooklyncentermn.gov/government/departments/recreation/parks-trails,,,Brooklyn Center,,,,,27050.924364775,882.922984695542
48,85003,Belmont Park,,Belmont Ln & Tonkawood Rd,Mound,053,MN,Open,Open,,,,Mound,05,,,,,0.4198098,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,1698.9099974,191.960769565475
49,01080,Beltrami Park,,1111 Summer St. NE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,8.10019795,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,32780.338095315,724.237361786758
50,01011,Bethune Park,,1301 10th Ave. N.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,12.19110409,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,49335.647877765,1001.29730929519
51,01110,Bf Nelson Park,,Marshall St & Main St,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,13.71926285,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,55519.8869746,1385.37178378246
52,38024,Big Island Nature Park,,100 Big Island,Orono,053,MN,Open,Open,,,,Orono,05,,,,,56.40807341,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-249-4600,https://www.oronomn.gov/394/Parks-Golf-Course-Facilities,,,Orono,,,,,228275.37414772,2634.42979113469
53,34041,Big Willow,,11522 Minnetonka Blvd,Minnetonka,053,MN,Open,Open,,,,Minnetonka,05,,,,,106.12738293,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,952-939-8200,https://www.minnetonkamn.gov/our-city/parks-trails/minnetonka-parks,,,Minnetonka,,,,,429482.281214565,4735.64946819563
54,99009,Big Woods,,"1223 Wayzata Boulevard E Wayzata, MN 55391",Wayzata,053,MN,Open,Open,,,,Wayzata,05,,,,,21.52513122,,,,,,,,,,,,,,,,Unknown,,,,,952-473-0234,https://www.wayzata.org/Facilities?clear=False,,,Wayzata,,,,,87109.115508095,1280.95290634116
55,48066,Birch Grove Elementary,,4520 81st Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,13.65892647,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,55275.714302645,1013.17988248982
56,48061,Birch Grove Park,,4520 81st Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,12.97391184,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,52503.558452365,989.924066140806
57,61001,Birch Island Park,,6225 EDEN PRAIRIE RD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,19.12397729,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,77385.194033635,1181.72672589361
58,61045,Birch Island Woods Conservation Area,,6410 INDIAN CHIEF RD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,32.95797801,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,133411.818621125,2104.89199704477
59,24004,Birchcrest Park,,6016 Hansen Road,Edina,053,MN,Open,Open,,,,Edina,05,,,,,1.73203853,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,7009.311235355,356.001625842579
60,40023,Birchview Elementary,,425 Ranchview Lane,Plymouth,053,MN,Open,,School Park,,,ISD 284,10,,,,,13.23879878,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,53575.51786208,1267.01055539986
61,46018,Birchwood Park,,2701 Zarthan Ave S,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,4.49473408,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,18189.54347118,679.780864556032
62,46035,Blackstone Park,,6094 16th St W,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,0.90439632,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,3661.37007596,298.284174613401
63,03002,Bloomington Ferry Unit Park,,Near Bloomington Ferry Rd & Auto Club Rd,Bloomington,053,MN,Open,Open,,,,U.S. Fish & Wildlife Service,01,,,,,311.19389293,,,,,,,,,,,,,,,,Unknown,,,,,952-854-5900,https://www.fws.gov/refuge/minnesota-valley,,,Hennepin County,,,,,1259363.04619963,9393.14849827929
64,20090,Bloomington Ice Gardens,,3600 West 98th Street,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,10.57589373,,,,,,,,,,,,,,,,Subject to change,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,42800.070877785,916.090281304223
65,85020,Bluffs Beach,,Bay Ridge Rd & Bluffs Dr,Mound,053,MN,Open,Closed,,,,Mound,05,,,,,0.11627015,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,470.3359999,124.646318106284
66,61002,Bluffs West 1,,10458 DEVONSHIRE PL,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,1.19089493,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,4819.767814195,581.509093944473
67,61003,Bluffs West 2,,10292 EDINBURGH CIR,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,1.4641159,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,5925.48766494,618.624409592585
68,26006,Boat Launch,,5655 Merry Ln,Shorewood,053,MN,Open,Open,,,,Shorewood,05,,,,,0.62243092,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-474-3236,https://www.shorewoodmn.gov/451/Parks,,,Shorewood,,,,,2518.888548915,217.392782723881
69,88001,Boerboom/Veterans Memorial Park,,416 Central Ave,Osseo,053,MN,Open,Open,,,,Osseo,05,,,,,0.76292425,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-425-2624,https://www.discoverosseo.com/departments/parks-and-recreation/parks-and-trails/,,,Hennepin County,,,,,3087.44489034,223.605456891627
70,01017,Bohanon Park,,900 50th Ave. N.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,8.67840514,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,35120.259567565,749.718874697382
71,95003,Boniface Field,,8660 Wildwood Ave,St. Bonifacius,053,MN,Open,Open,,,,St. Bonifacius,05,,,,,2.51698309,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,stboni@visi.com,952-446-1061,https://ci.st-bonifacius.mn.us/index.asp?SEC=F5303C12-3E20-4E16-8070-C04B35736B84&Type=B_BASIC,,,Hennepin County,,,,,10185.86917806,420.681344800514
72,01091,Boom Island Park,,700 Sibley St. NE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,21.59668753,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,87398.693618145,1580.84984351212
73,28023,Boone Open Space,,710 Boone Avenue North,Golden Valley,053,MN,Open,Open,,,,Golden Valley,05,,,,,2.11385643,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,,763-593-8000,https://www.goldenvalleymn.gov/183/Parks-Trails-Recreation,,,Golden Valley,,,,,8554.473484075,373.980014329163
74,20089,Boone Pond,,10324 Zinran Ave S,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,8.89228558,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,35987.029730405,1023.54467890169
75,01086,Bossen Field,,5657 28th Ave. S.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,36.60559795,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,148137.599158945,1539.68173116895
76,01072,Bottineau Park,,2000 2nd St. NE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,6.62555069,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,26812.652349135,736.774973872284
77,34043,Boulder Creek,,5948 Stoneybrook Rd,Minnetonka,053,MN,Open,Open,,,,Minnetonka,05,,,,,9.69983875,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,952-939-8200,https://www.minnetonkamn.gov/our-city/parks-trails/minnetonka-parks,,,Minnetonka,,,,,39253.85472653,1342.36275925601
78,76048,Boundary Creek Neighborhood Park,,10122 104th Ave.,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,103.70178836,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,419666.24825298,6945.05754258155
79,01032,Brackett Field,,2728 39th Ave. S,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,10.39035966,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,42048.29373262,868.927596848785
80,24005,Braemar Park,,6364 John Harris Drive,Edina,053,MN,Open,Open,,,,Edina,05,,,,,444.3539844,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,1798236.77557424,7796.08855925716
81,24043,Bredesen Park,,5901 Olinger Boulevard,Edina,053,MN,Open,Open,,,,Edina,05,,,,,154.77833975,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,626365.71826444,4730.8395453063
